age,habitat_type,f_habitat,common_name,status,avg_biomass,se_biomass,avg_diameter,se_diameter,avg_rgr_ht,se_rgr_ht,avg_height,se_height,avg_num_leaves,se_num_leaves,tree_richness,avg_dbh,se_dbh,total_dbh,avg_basal_area,avg_ppfd,avg_pct_light,litter_kg_m2,pct_moisture
Mature forest,0,0-5 m,Autumn olive,Non-native,1.9577083333333334,0.7389637846029466,3.0970833333333334,0.32955222557897856,3.292140876862043,0.08914759668369233,32.15,3.847715301770423,41.625,NA,2.9,31.898,17.91985671141927,159.49,27.776844269384164,55.76,22.26514103008,1.274624,14.429012735
Mature forest,0,0-5 m,Honeysuckle,Non-native,1.0448,0.12469564594502511,3.220857142857143,0.20019011972026352,2.984620557751973,0.058136401516248465,21.162857142857142,1.2359807115516532,50.97142857142857,NA,2.9,31.898,17.91985671141927,159.49,27.776844269384164,55.76,22.26514103008,1.274624,14.429012735
Mature forest,0,0-5 m,Privet,Non-native,1.0268285714285714,0.1277727732994735,2.8465714285714285,0.10688362476870569,3.1368577388284318,0.0757814183638126,25.617142857142856,1.7987679023116223,62,NA,2.9,31.898,17.91985671141927,159.49,27.776844269384164,55.76,22.26514103008,1.274624,14.429012735
Mature forest,0,0-5 m,Dogwood,Native,0.7994347826086957,0.07846582675521521,2.6356521739130434,0.10716260593449534,3.175333965509454,0.04269540031108981,24.821739130434782,1.0200708144061186,7.086956521739131,NA,2.9,31.898,17.91985671141927,159.49,27.776844269384164,55.76,22.26514103008,1.274624,14.429012735
Mature forest,0,0-5 m,Redbud,Native,1.10125,0.12720309056780027,3.1886111111111113,0.13842592282918365,3.2701709097385363,0.04293380573015145,27.352777777777778,1.164170373583763,7.388888888888889,NA,2.9,31.898,17.91985671141927,159.49,27.776844269384164,55.76,22.26514103008,1.274624,14.429012735
Mature forest,0,0-5 m,Spicebush,Native,0.598741935483871,0.09063304187530005,2.339032258064516,0.11634098936510558,2.830526425529312,0.058440556285843964,18.16774193548387,1.100866227846464,11.290322580645162,NA,2.9,31.898,17.91985671141927,159.49,27.776844269384164,55.76,22.26514103008,1.274624,14.429012735
Mature forest,1,10-20 m,Autumn olive,Non-native,1.311842105263158,0.26500169576308363,2.962105263157895,0.22741786212959295,3.266057970495815,0.07966116770716747,30.58421052631579,2.681785540309017,38.1578947368421,NA,3,38.29666666666667,14.786796278324886,191.48333333333332,30.416792278457862,34.95,17.40002545415,1.2298266666666666,14.44738038275
Mature forest,1,10-20 m,Honeysuckle,Non-native,0.7782608695652173,0.09244597739171685,2.8363043478260868,0.13227544168068253,2.9054632623124883,0.055749777074121286,19.713043478260868,1.1323795361311646,45.97826086956522,NA,3,38.29666666666667,14.786796278324886,191.48333333333332,30.416792278457862,34.95,17.40002545415,1.2298266666666666,14.44738038275
Mature forest,1,10-20 m,Privet,Non-native,0.8506410256410256,0.08846002471616501,2.7525641025641026,0.1543356297722078,3.077367813336269,0.06403027668679764,23.838461538461537,1.4459661652843399,64.66666666666667,NA,3,38.29666666666667,14.786796278324886,191.48333333333332,30.416792278457862,34.95,17.40002545415,1.2298266666666666,14.44738038275
Mature forest,1,10-20 m,Dogwood,Native,0.6610909090909091,0.07486238558560755,2.374848484848485,0.10212018119758838,3.0529823743179243,0.035315473734568475,21.83939393939394,0.7524347579858686,7.333333333333333,NA,3,38.29666666666667,14.786796278324886,191.48333333333332,30.416792278457862,34.95,17.40002545415,1.2298266666666666,14.44738038275
Mature forest,1,10-20 m,Redbud,Native,0.6762790697674419,0.062272588857356946,2.7269767441860466,0.10224975981058107,3.1296794250872795,0.04185913803380658,23.86279069767442,0.9497181247226599,6.4186046511627906,NA,3,38.29666666666667,14.786796278324886,191.48333333333332,30.416792278457862,34.95,17.40002545415,1.2298266666666666,14.44738038275
Mature forest,1,10-20 m,Spicebush,Native,0.4922439024390244,0.0490363043707564,2.245121951219512,0.08195471434427694,2.807903434475611,0.046293612196813994,17.470731707317075,0.835627533045519,9.902439024390244,NA,3,38.29666666666667,14.786796278324886,191.48333333333332,30.416792278457862,34.95,17.40002545415,1.2298266666666666,14.44738038275
Mature forest,2,40-60 m,Autumn olive,Non-native,0.6147777777777778,0.07447286246686585,2.336666666666667,0.12760424419765554,3.0764582023390017,0.056179419223315034,23.288888888888888,1.287266911024231,21.72222222222222,NA,3.1666666666666665,34.25,17.616476917321183,171.25,30.99069401956084,42.81666666666667,16.456918691816668,1.17804,16.162734590833335
Mature forest,2,40-60 m,Honeysuckle,Non-native,0.5578085106382978,0.055739841460076385,2.53,0.1527643823727872,2.78235742265558,0.06251089371911214,17.51063829787234,0.9053296002937573,28.893617021276597,NA,3.1666666666666665,34.25,17.616476917321183,171.25,30.99069401956084,42.81666666666667,16.456918691816668,1.17804,16.162734590833335
Mature forest,2,40-60 m,Privet,Non-native,0.7111951219512195,0.05668161462936523,2.7173170731707317,0.08445537800509652,2.9638598158734357,0.0509365710458572,20.648780487804878,1.0698866857406926,53.73170731707317,NA,3.1666666666666665,34.25,17.616476917321183,171.25,30.99069401956084,42.81666666666667,16.456918691816668,1.17804,16.162734590833335
Mature forest,2,40-60 m,Dogwood,Native,0.5446,0.05161248839509033,2.452,0.1017955126166615,2.930712873989994,0.04445871603204599,19.632,0.8395778535801325,6.64,NA,3.1666666666666665,34.25,17.616476917321183,171.25,30.99069401956084,42.81666666666667,16.456918691816668,1.17804,16.162734590833335
Mature forest,2,40-60 m,Redbud,Native,0.5322857142857143,0.03684189861573476,2.759047619047619,0.08917747988750487,3.047191639420413,0.03450958014413541,21.702380952380953,0.7139470620934943,5.666666666666667,NA,3.1666666666666665,34.25,17.616476917321183,171.25,30.99069401956084,42.81666666666667,16.456918691816668,1.17804,16.162734590833335
Mature forest,2,40-60 m,Spicebush,Native,0.4574186046511628,0.04372669711098987,2.1704651162790696,0.07645153141430504,2.8172234566497254,0.04936425960659054,17.71395348837209,0.8277526312882679,10.488372093023257,NA,3.1666666666666665,34.25,17.616476917321183,171.25,30.99069401956084,42.81666666666667,16.456918691816668,1.17804,16.162734590833335
Young forest,0,0-5 m,Autumn olive,Non-native,2.8175,0.7343181619752822,3.929736842105263,0.26772302457507174,3.407055871290615,0.079989389968462,35.15526315789474,2.9467471326971366,64.42105263157895,NA,3,12.621666666666666,7.8971970413034445,63.108333333333334,14.538844107942124,77.8,19.493247110316666,0.8617600000000001,14.1714028765
Young forest,0,0-5 m,Honeysuckle,Non-native,2.4560833333333334,0.3207942178536473,3.656111111111111,0.2197263660235747,3.5364720926723727,0.08277335961126969,39.68888888888889,2.876855049102227,107.19444444444444,NA,3,12.621666666666666,7.8971970413034445,63.108333333333334,14.538844107942124,77.8,19.493247110316666,0.8617600000000001,14.1714028765
Young forest,0,0-5 m,Privet,Non-native,1.7335757575757575,0.22252325495954442,3.6148484848484848,0.1901685522972405,3.359510867344505,0.06767752806820578,31.954545454545453,2.1706796497976057,60.1,NA,3,12.621666666666666,7.8971970413034445,63.108333333333334,14.538844107942124,77.8,19.493247110316666,0.8617600000000001,14.1714028765
Young forest,0,0-5 m,Dogwood,Native,1.093,0.10979845171950287,3.1372222222222224,0.12628558485353325,3.2296106795732102,0.0670936350227827,27.725,1.5362538503961978,20.72222222222222,NA,3,12.621666666666666,7.8971970413034445,63.108333333333334,14.538844107942124,77.8,19.493247110316666,0.8617600000000001,14.1714028765
Young forest,0,0-5 m,Redbud,Native,2.152258064516129,0.304126431055093,3.6990322580645163,0.16928130550732776,3.4488601279832394,0.06859765585084292,35.12903225806452,2.37672216376412,34.54838709677419,NA,3,12.621666666666666,7.8971970413034445,63.108333333333334,14.538844107942124,77.8,19.493247110316666,0.8617600000000001,14.1714028765
Young forest,0,0-5 m,Spicebush,Native,1.3015806451612904,0.15817177184504874,3.128064516129032,0.13572051519106315,3.2903473407048613,0.0749724779144514,30.3,2.0203169443321403,22.838709677419356,NA,3,12.621666666666666,7.8971970413034445,63.108333333333334,14.538844107942124,77.8,19.493247110316666,0.8617600000000001,14.1714028765
Young forest,1,10-20 m,Autumn olive,Non-native,1.6609117647058824,0.29842663888723836,3.2558823529411764,0.15663044296211204,3.3885316398324723,0.06760921406326775,32.997058823529414,2.303432565107222,45.55882352941177,NA,2.9166666666666665,10.036111111111111,5.2283420130264036,48.75833333333333,14.730144688309784,97.9,23.4728613474,0.9467866666666667,16.477081633333334
Young forest,1,10-20 m,Honeysuckle,Non-native,1.9738684210526316,0.42871971719685065,3.2394736842105263,0.22821229136239846,3.353256923605816,0.07527540088678158,32.76315789473684,2.599442120182384,55.10526315789474,NA,2.9166666666666665,10.036111111111111,5.2283420130264036,48.75833333333333,14.730144688309784,97.9,23.4728613474,0.9467866666666667,16.477081633333334
Young forest,1,10-20 m,Privet,Non-native,2.027282051282051,0.23075475168720974,3.497948717948718,0.1684641599551184,3.52801721276457,0.06340111734041225,37.39230769230769,2.2773902630547123,70.53846153846153,NA,2.9166666666666665,10.036111111111111,5.2283420130264036,48.75833333333333,14.730144688309784,97.9,23.4728613474,0.9467866666666667,16.477081633333334
Young forest,1,10-20 m,Dogwood,Native,1.07296875,0.111224287135909,2.968125,0.1138178118206215,3.3003157092651567,0.0613275985305065,29.440625,1.6164637636292205,35.03125,NA,2.9166666666666665,10.036111111111111,5.2283420130264036,48.75833333333333,14.730144688309784,97.9,23.4728613474,0.9467866666666667,16.477081633333334
Young forest,1,10-20 m,Redbud,Native,2.0902857142857143,0.5897218598829533,3.214,0.2790967574157751,3.1616259189521587,0.08357031870224067,28.042857142857144,2.591199958878272,18,NA,2.9166666666666665,10.036111111111111,5.2283420130264036,48.75833333333333,14.730144688309784,97.9,23.4728613474,0.9467866666666667,16.477081633333334
Young forest,1,10-20 m,Spicebush,Native,1.351138888888889,0.43344950295328494,2.9947222222222223,0.23415361413659092,3.058357282185491,0.06984742639388478,23.95277777777778,1.8378121248061938,13.777777777777779,NA,2.9166666666666665,10.036111111111111,5.2283420130264036,48.75833333333333,14.730144688309784,97.9,23.4728613474,0.9467866666666667,16.477081633333334
Young forest,2,40-60 m,Autumn olive,Non-native,2.476,0.6004882200988438,3.4831578947368422,0.22833714041258613,3.437491980535145,0.09955102577073947,38.660526315789475,3.7880361385374632,63.89473684210526,NA,2.6666666666666665,12.993333333333334,NA,62.733333333333334,15.112745849045101,84.93333333333332,18.094110057433333,0.9596933333333334,16.9205047475
Young forest,2,40-60 m,Honeysuckle,Non-native,1.6431142857142857,0.3206540703127332,3.4194285714285715,0.21854912145189456,3.270133749994525,0.07493522850610423,30.254285714285714,2.627688499183169,43.97142857142857,NA,2.6666666666666665,12.993333333333334,NA,62.733333333333334,15.112745849045101,84.93333333333332,18.094110057433333,0.9596933333333334,16.9205047475
Young forest,2,40-60 m,Privet,Non-native,1.9137428571428572,0.3810913658122402,3.5588571428571427,0.30461015977766714,3.2448630715067415,0.08289902602330478,30.18,2.562150980535461,58.114285714285714,NA,2.6666666666666665,12.993333333333334,NA,62.733333333333334,15.112745849045101,84.93333333333332,18.094110057433333,0.9596933333333334,16.9205047475
Young forest,2,40-60 m,Dogwood,Native,1.7008275862068964,0.291081887586979,3.4817241379310344,0.24146042173144192,3.2834028374333823,0.0890972503161384,32.0551724137931,2.868679870516644,37.03448275862069,NA,2.6666666666666665,12.993333333333334,NA,62.733333333333334,15.112745849045101,84.93333333333332,18.094110057433333,0.9596933333333334,16.9205047475
Young forest,2,40-60 m,Redbud,Native,1.2132916666666667,0.13549994972435206,3.057916666666667,0.12293068269388462,3.2415720699530866,0.07657174231145829,29.133333333333333,2.1063081010206277,27.833333333333332,NA,2.6666666666666665,12.993333333333334,NA,62.733333333333334,15.112745849045101,84.93333333333332,18.094110057433333,0.9596933333333334,16.9205047475
Young forest,2,40-60 m,Spicebush,Native,1.0101891891891892,0.15412513644011053,2.975945945945946,0.16441832778468318,3.1952837431793015,0.061435688826862234,26.772972972972973,1.7555225317150902,15.135135135135135,NA,2.6666666666666665,12.993333333333334,NA,62.733333333333334,15.112745849045101,84.93333333333332,18.094110057433333,0.9596933333333334,16.9205047475
